name,category,subcategory,address,city,country_code,latitude,longitude,website,phone,source_record_id
& Other Stories,tiendas,beauty_supply_store,Financial Centre Road,Dubai,AE,25.19788360595703,55.27830505371094,https://www.stories.com/en_eur/,+971-44190180,fe07f51c-1e9f-466e-9427-26d7d3c85f5e
Pokai by Sushi Art,restaurantes,poke_restaurant,DIC Building 6,Dubai,AE,25.093814849853516,55.161109924316406,https://order.chatfood.io/pokai,045706992,e094275b-b7fd-417a-9a07-4777539b146b
Banyan Tree SPA,belleza,spa,Banyan Hotel,Dubai,AE,25.081167221069336,55.120548248291016,http://banyantree.com,050 864 2876,64eeb869-6ac6-4553-a5f4-8750ef52d96b
Galaxy Cut Beauty Saloon,belleza,personal_or_beauty_service,"Isa Hasan Building, Shop No. 1a, Next To Areej Pharmacy, Al Mussallah Rd., Bur Dubai",Dubai,AE,25.259746551513672,55.298362731933594,http://www.galaxy-saloon.com,04 359 0965,fefa6246-5c2f-4fea-a783-8dab8fb4747c
The NEST Social,servicios,coworking_space,"2nd Floor, Millennium Place, Dubai Marina",Dubai,AE,25.071117401123047,55.136287689208984,https://www.thenestsocial.ae/,045508121,f7b237f1-0104-48d3-9876-930f45f8b30f
Richy's,restaurantes,salad_bar,Hamdan Juma Building,Dubai,AE,25.1099853515625,55.19719696044922,http://www.richys.com,800 742497,b4af8d2e-b76b-404e-a7e2-65e5c9366be2
Polar Bear,salud,dental_clinic,Rimal 2,Dubai,AE,25.077322006225586,55.134315490722656,http://pbdc.ae,052 148 9487,aaf11231-5b21-4ff1-8a40-4b29f71d0b53
EL GRECO إل جريكو,restaurantes,greek_restaurant,JUMEIRA BEACH ROAD,Dubai,AE,25.211883544921875,55.24785232543945,http://www.elgrecoarabia.com,04 344 4816,b7da95d2-fc2e-4e37-a6ff-34b32c524881
Mediclinic Ibn Battuta,salud,outpatient_care_facility,Ibn Battuta Mall,Dubai,AE,25.04817771911621,55.12171173095703,https://www.mediclinic.ae/en/ibn-battuta/home.html,,4d910b37-77f5-4165-ae84-50dfd0aeb9d8
DHA Drive-Through Covid-19 Testing Centre - Nad Al Sheba,servicios,laboratory,572Q+M85 Dubai,Dubai,AE,25.1517276763916,55.28838348388672,https://www.unilabs.ae/,8008645227,9d782080-3532-477b-9688-ec18df375394
Abroshka Gents Salon,belleza,barber,"Shop 07, Sobha Hartland One Park Avenue",Dubai,AE,25.12192153930664,55.59341049194336,,+971552701009,9cc559d0-7d86-46cb-8b7c-54eabe21b40c
Jacques La Coupe,belleza,hair_salon,Address Hotel Dubai Marina,Dubai,AE,25.07697296142578,55.140960693359375,http://www.jacqueslacoupe.com,04 445 8381,9a8c2127-81b8-4c26-be95-5b2f2675f3cd
Lana Lusa,restaurantes,portuguese_restaurant,Time Out Market,Dubai,AE,25.194931030273438,55.27644729614258,http://www.lanalusa.com,04 380 1515,86446e41-ebd2-41da-b0a8-ade81ebd36b8
OnlineTranslation.ae,servicios,translation_service,"Palm Jumeirah Mall - Al Hilali - Nakhlat Jumeira - Dubai, Dubai, AE",Dubai,AE,25.11423683166504,55.13877868652344,https://onlinetranslation.ae,050 862 0217,a21c7dc7-f8d1-4b68-9613-070602baddde
